Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

05:15:45 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:15:46 PM     0   1939590     53.00      0.00 3333056  116012   0.04  python
05:15:47 PM     0   1939590     33.66      0.00 3333056  115980   0.04  python
05:15:48 PM     0   1939590     38.00      0.00 3324860  115952   0.04  python
05:15:49 PM     0   1939590     36.00      0.00 3333056  115920   0.04  python
05:15:50 PM     0   1939590     34.00      0.00 3324860  116148   0.04  python
05:15:51 PM     0   1939590     34.00      0.00 3333056  116124   0.04  python
05:15:52 PM     0   1939590     32.00      0.00 3324860  116096   0.04  python
05:15:53 PM     0   1939590     35.00      0.00 3333056  116068   0.04  python
05:15:54 PM     0   1939590     31.00      0.00 3333056  116036   0.04  python
05:15:55 PM     0   1939590     29.00      0.00 3333056  116016   0.04  python
05:15:56 PM     0   1939590     33.00      0.00 3333056  115988   0.04  python
05:15:57 PM     0   1939590     40.00      0.00 3333056  116216   0.04  python
05:15:58 PM     0   1939590     34.00      0.00 3324860  116176   0.04  python
05:15:59 PM     0   1939590     38.00      0.00 3333056  116148   0.04  python
